name,hex,r,g,b
Independence,#4C516D,0.3,0.32,0.43
India green,#138808,0.07,0.53,0.03
Indian red,#CD5C5C,0.8,0.36,0.36
Indian yellow,#E3A857,0.89,0.66,0.34
Indigo,#4B0082,0.29,0.0,0.51
Indigo dye,#00416A,0.0,0.25,0.42
Infrared,#FF496C,1.0,0.29,0.42
International Klein Blue,#130a8f,0.07,0.04,0.56
International orange (aerospace),#FF4F00,1.0,0.31,0.0
International orange (engineering),#BA160C,0.73,0.09,0.05
International orange (Golden Gate Bridge),#C0362C,0.75,0.21,0.17
Iris,#5A4FCF,0.35,0.31,0.81
Irresistible,#B3446C,0.7,0.27,0.42
Isabelline,#F4F0EC,0.96,0.94,0.93
Italian sky blue,#B2FFFF,0.7,1.0,1.0
Ivory,#FFFFF0,1.0,1.0,0.94
Jade,#00A86B,0.0,0.66,0.42
Japanese carmine,#9D2933,0.62,0.16,0.2
Japanese violet,#5B3256,0.36,0.2,0.34
Jasmine,#F8DE7E,0.97,0.87,0.49
Jazzberry jam,#A50B5E,0.65,0.04,0.37
Jet,#343434,0.2,0.2,0.2
Jonquil,#F4CA16,0.96,0.79,0.09
June bud,#BDDA57,0.74,0.85,0.34
Jungle green,#29AB87,0.16,0.67,0.53
Kelly green,#4CBB17,0.3,0.73,0.09
Keppel,#3AB09E,0.23,0.69,0.62
Key lime,#E8F48C,0.91,0.96,0.55
Khaki (web),#C3B091,0.76,0.69,0.57
Khaki (X11) (Light khaki),#F0E68C,0.94,0.9,0.55
Kobe,#882D17,0.53,0.18,0.09
Kobi,#E79FC4,0.91,0.62,0.77
Kobicha,#6B4423,0.42,0.27,0.14
Kombu green,#354230,0.21,0.26,0.19
KSU purple,#512888,0.31,0.15,0.51
Languid lavender,#D6CADD,0.84,0.79,0.87
Lapis lazuli,#26619C,0.15,0.38,0.61
Laser lemon,#FFFF66,1.0,1.0,0.4
Laurel green,#A9BA9D,0.66,0.73,0.62
Lava,#CF1020,0.81,0.06,0.13
